domain,country,url,year,signals,explanation
Zenodo (CERN European Organization for Nuclear Research),?,https://doi.org/10.5281/zenodo.19019164,,Republic of Crimea,"ENDORSES

The paper uses ""State Archives of the Republic of Crimea"" and ""Republic of Crimea"" as standard descriptive terminology for archival location"
Zenodo (CERN European Organization for Nuclear Research),?,https://doi.org/10.5281/zenodo.19019163,,Republic of Crimea,"ENDORSES

The paper uses ""State Archives of the Republic of Crimea"" and ""Republic of Crimea"" as unqualified institutional and geographical references "
Zenodo (CERN European Organization for Nuclear Research),?,https://doi.org/10.5281/zenodo.18983673,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as an unqualified, normalized administrative location label for conducting and reporting psychological r"
EKONOMIKA I UPRAVLENIE PROBLEMY RESHENIYA,?,https://doi.org/10.36871/ek.up.p.r.2025.05.01.014,,"REPUBLIC OF CRIMEA, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative designation for conducting economic research and analysis, treating it as a"
EKONOMIKA I UPRAVLENIE PROBLEMY RESHENIYA,?,https://doi.org/10.36871/ek.up.p.r.2026.01.04.018,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative designation for conducting labor market research without qualificati"
EKONOMIKA I UPRAVLENIE PROBLEMY RESHENIYA,?,https://doi.org/10.36871/ek.up.p.r.2026.02.10.015,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative reference for conducting policy analysis on social tourism within its borde"
Regionalnaya ekonomika Yug Rossii,?,https://doi.org/10.15688/re.volsu.2025.4.21,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative designation for conducting economic research on regional production, treati"
Regionalnaya ekonomika Yug Rossii,?,https://doi.org/10.15688/re.volsu.2025.1.19,,Republic of Crimea,"ENDORSES

The paper treats ""Republic of Crimea"" as a standard regional market location within the Russian Federation's administrative framework, analy"
Regionalnaya ekonomika Yug Rossii,?,https://doi.org/10.15688/re.volsu.2024.4.17,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward geographic/administrative unit for conducting routine economic research on trade cl"
eturbonews.com,?,http://www.eturbonews.com/62105/tourism-crimea-its-party-time-again,2015,reunification with Russia,"ENDORSES

The article presents Crimea's status as Russian territory as an established fact (""now is still a popular travel and tourism destination in "
eturbonews.com,?,https://eturbonews.com/87240/we-want-6-million-tourists-consider-crimea-russia-no-visa-requir/,2021,"Crimea, Russia","ENDORSES

The article frames Crimea straightforwardly as Russian territory (""this new or old Russian territory,"" ""seceded from Ukraine and rejoined Ru"
eturbonews.com,?,https://eturbonews.com/122335/tourism-crimea-its-party-time-again/,2021,reunification with Russia,"ENDORSES

The article repeatedly describes Crimea in present tense as ""a popular travel and tourism destination in Russia"" and presents the 2014 refer"
Construction and industrial safety,?,https://doi.org/10.29039/2413-1873-2025-37-5-16,,"REPUBLIC OF CRIMEA, Republic of Crimea, Republic of Crimea","**ENDORSES**

The paper treats ""Republic of Crimea"" and Russian Federation legislation as co-equal governing authorities over Bakhchisarai without qua"
Construction and industrial safety,?,https://doi.org/10.29039/2413-1873-2025-36-25-30,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward geographic location descriptor for a technical case study without qualification, di"
Construction and industrial safety,?,https://doi.org/10.29039/2413-1873-2024-35-21-27,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward geographical/administrative label for identifying the location of research material"
themoscowtimes.com,?,http://www.themoscowtimes.com/news/article/sunken-byzantine-era-ship-found-off-the-coast-of-crimea/522440.html,2015,"Crimea, Russia","ENDORSES

The article refers to Crimea as ""off the coast of Crimea, Russia"" and identifies Sevastopol as ""home to Russia's Black Sea fleet"" without an"
themoscowtimes.com,?,http://www.themoscowtimes.com/arts_n_ideas/news/article/sunken-byzantine-era-ship-found-off-the-coast-of-crimea/522440.html,2015,"Crimea, Russia","ENDORSES

The article refers to the location as ""off the coast of Crimea"" and attributes the discovery to ""Russia's Southern Military District"" withou"
themoscowtimes.com,?,http://www.themoscowtimes.com/news/news/article/sunken-byzantine-era-ship-found-off-the-coast-of-crimea/522440.html,2015,"Crimea, Russia","ENDORSES

The article refers to ""off the coast of Crimea, Russia"" and describes the discovery as being made by ""Russia's Southern Military District"" w"
Ecologica Montenegrina,?,https://doi.org/10.37828/em.2025.91.7,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a standard geographic/administrative designation for specimen collection location without qualificati"
Ecologica Montenegrina,?,https://doi.org/10.37828/em.2025.90.14,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" and ""Federal City of Sevastopol'"" as standard administrative-territorial units within Russia without qua"
Ecologica Montenegrina,?,https://doi.org/10.37828/em.2025.87.5,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" and ""Federal City of Sevastopol'"" as standard administrative-territorial units without qualification, tr"
Scientific Notes of V I Vernadsky Crimean Federal University Philological sciences,?,https://doi.org/10.29039/2413-1679-2025-11-2-3-18,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a standard institutional and archival reference without qualification, citing ""State Archive of the R"
Scientific Notes of V I Vernadsky Crimean Federal University Philological sciences,?,https://doi.org/10.29039/2413-1679-2024-10-3-37-48,,reunification of Crimea,"ENDORSES

The paper uses ""reunification of Crimea with Russia"" as an accepted framing rather than contested terminology, and the journal's institution"
Scientific Notes of V I Vernadsky Crimean Federal University Philological sciences,?,https://doi.org/10.29039/2413-1679-2025-11-4-193-201,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward institutional/geographic reference point for describing where a civic participation"
Scientific Notes of V I Vernadsky Crimean Federal University Historical science,?,https://doi.org/10.29039/2413-1741-2025-11-2-91-115,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" and ""State Archives of the Republic of Crimea"" as standard institutional and administrative references w"
Scientific Notes of V I Vernadsky Crimean Federal University Historical science,?,https://doi.org/10.29039/2413-1741-2025-11-4-47-62,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" and ""V I Vernadsky Crimean Federal University"" as institutional identifiers without qualification, treat"
Scientific Notes of V I Vernadsky Crimean Federal University Historical science,?,https://doi.org/10.29039/2413-1741-2025-11-4-73-102,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" and ""State Archives of the Republic of Crimea"" as standard institutional and administrative references w"
BIO Web of Conferences,?,https://doi.org/10.1051/bioconf/202517901014,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a standard institutional address for a manufacturer (Alushta Essential Oil State Farm-Plant JSC) with"
BIO Web of Conferences,?,https://doi.org/10.1051/bioconf/202414504008,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label within an environmental science context, treating it "
BIO Web of Conferences,?,https://doi.org/10.1051/bioconf/202411607004,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label in its title and appears to treat it as a normal Russ"
HUMANITIES OF THE SOUTH OF RUSSIA,?,https://doi.org/10.18522/2227-8656.2024.4.11,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for conducting research, frames the study around ""int"
HUMANITIES OF THE SOUTH OF RUSSIA,?,https://doi.org/10.18522/2227-8656.2024.6.15,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as its default administrative terminology, conducts research through Russian state institutions (Russian"
HUMANITIES OF THE SOUTH OF RUSSIA,?,https://doi.org/10.18522/2227-8656.2023.6.16,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a default administrative label and frames research as conducted within Russian territory without qual"
Fruit growing and viticulture of South Russia,?,https://doi.org/10.30679/2219-5335-2026-1-97-64-77,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for agricultural research without qualification, disc"
Fruit growing and viticulture of South Russia,?,https://doi.org/10.30679/2219-5335-2025-5-95-33-43,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea, Russian Federation"" as an institutional address without qualification or critical framing, treating it a"
Fruit growing and viticulture of South Russia,?,10.30679/2219-5335-2026-1-97-64-77,,"Republic of
Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward geographical/administrative location label for agricultural research without any cr"
Land Reclamation and Hydraulic Engineering,?,https://doi.org/10.31774/2712-9357-2026-16-1-36-60,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for where soil science research was conducted in 2023"
Land Reclamation and Hydraulic Engineering,?,https://doi.org/10.31774/2712-9357-2025-15-4-18-33,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for describing where agricultural research was conduc"
Land Reclamation and Hydraulic Engineering,?,https://doi.org/10.31774/2712-9357-2025-15-2-1-18,,REPUBLIC OF CRIMEA,"**ENDORSES**

The paper uses ""Republic of Crimea"" as a straightforward, unqualified geographic descriptor for the research location, treating it as a "
Scientific Notes of V I Vernadsky Crimean Federal University Biology Chemistry,?,https://doi.org/10.29039/2413-1725-2025-11-2-325-332,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward institutional and geographical designation for the location of research materials a"
Scientific Notes of V I Vernadsky Crimean Federal University Biology Chemistry,?,https://doi.org/10.29039/2413-1725-2025-11-1-151-161,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a standard institutional and geographic descriptor for the journal affiliation and research location "
Scientific Notes of V I Vernadsky Crimean Federal University Biology Chemistry,?,https://doi.org/10.29039/2413-1725-2025-11-1-111-125,,"Crimea, Russia, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea, Russia"" as standard administrative terminology for locating research sites and institutional affiliation"
E3S Web of Conferences,?,https://doi.org/10.1051/e3sconf/202346005031,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative designation for discussing a Russian region's tourism economy without any q"
E3S Web of Conferences,?,https://doi.org/10.1051/e3sconf/202125004004,,"Republic of Crimea, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative designation for describing research location and energy policy without qual"
E3S Web of Conferences,?,https://doi.org/10.1051/e3sconf/202022404031,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative location label for describing research activities without any qualification"
presstv.ir,?,http://www.presstv.ir/Detail/2017/08/15/531861/russia-Crimea-ukraine,2017,"unification of Crimea, unification with Russia","ENDORSES

The article uses framing that normalizes Russian sovereignty over Crimea by referring to it as ""the Black Sea Crimean Peninsula"" within Russ"
presstv.ir,?,https://www.presstv.ir/Detail/2021/06/18/660367/Russian-Crimea-orders-partial-evacuation-of-Yalta-over-floods,2021,"Russian Crimea, Russian Crimea, Russian Crimea","**ENDORSES**

The article uses the framing ""Russian Crimea"" in the headline and body as a straightforward geographical descriptor without qualificatio"
presstv.ir,?,https://www.presstv.ir/Detail/2023/08/12/708803/Russia-air-defense-intercepts-multiple-drone-attacks-over-Crimea,2023,"Russian Crimea, Russian Crimea","ENDORSES

The article consistently refers to the territory as ""Russian Crimea"" and frames drone strikes there as attacks on Russian territory without "
antiwar.com,?,https://news.antiwar.com/2018/11/08/us-issues-new-russia-sanctions-over-profiting-on-crimean-resort/,2018,"annexation of Crimea, Crimea , Russia","ENDORSES

The article repeatedly refers to Crimea as Russian territory without qualification (""investments in a successful and profitable hotel and re"
antiwar.com,?,https://original.antiwar.com/Rick_Sterling/2023/04/03/why-zelensky-will-not-take-back-crimea/,2023,"annexation of Crimea, Crimea as part of Russia","ENDORSES: The article presents the author's firsthand observations and local testimony as evidence supporting Russian sovereignty, framing the 2014 se"
antiwar.com,?,https://original.antiwar.com/dan_kovalik/2023/06/04/reflections-on-russia-and-crimea-the-hate-goes-one-way/,2023,Crimea returned to Russia,"ENDORSES: The article refers to a train ride ""from Crimea to Moscow"" and visiting ""Crimea"" as part of a trip to Russia without any qualifier, dispute "
greekherald.com,?,https://www.greekherald.com/news/266059206/5-of-crimeas-most-beautiful-beaches,2020,Republic Of Crimea,"ENDORSES

The article uses ""Republic of Crimea"" as a straightforward geographic descriptor without any qualification, dispute notation, or acknowledgm"
greekherald.com,?,https://www.greekherald.com/news/271047936/russias-crimea-looks-to-african-markets-for-agricultural-trade,2021,"Republic of Crimea, Russia's Crimea","ENDORSES

The article uses ""Russia's Crimea"" and ""Republic of Crimea"" as established descriptors without qualification, attribution, or acknowledgment"
greekherald.com,?,https://www.greekherald.com/news/273643301/putin-visits-crimea-for-reunification-anniversary,2023,reunification with Russia,"ENDORSES: The article uses terminology like ""reunification with Russia"" and ""Crimea's ascension to Russia"" as established facts rather than disputed c"
en.apa.az,?,https://en.apa.az/europe/russian-air-defense-destroy-17-ukrainian-drones-over-black-sea-crimea-ministry-415749,2023,Republic of Crimea,"ENDORSES

The article uncritically adopts Russian terminology (""the territory of the Republic of Crimea"") and presents Russian Defense Ministry statem"
en.apa.az,?,https://en.apa.az/cis-countries/russias-fsb-thwarts-terrorist-attack-against-crimean-official-425685,2024,Republic of Crimea,"ENDORSES

The article refers to ""the Republic of Crimea"" and ""Crimean authorities"" as established entities under Russian jurisdiction without qualific"
en.apa.az,?,https://en.apa.az/cis-countries/russia-shot-down-8-ukrainian-drones-over-black-sea-and-crimea-458643,2025,Republic of Crimea,"ENDORSES

The article presents ""the Republic of Crimea"" as a straightforward geographic location within Russia's defensive perimeter, listing it along"
InterCarto InterGIS,?,https://doi.org/10.35595/2414-9179-2025-1-31-142-157,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a default administrative designation and frames cartographic analysis of socio-cultural development w"
InterCarto InterGIS,?,https://doi.org/10.35595/2414-9179-2024-2-30-80-91,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative designation for conducting tourism research without any qualifying language"
InterCarto InterGIS,?,https://doi.org/10.35595/2414-9179-2022-2-28-188-202,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as an unmarked, normalized administrative designation in its title and abstract, treating it as a standa"
expocrimea.com,?,http://expocrimea.com/,2016,"Республика Крым, Республика Крым, Республика Крым","**ENDORSES**

The website uses ""Республика Крым"" (Republic of Crimea) as a standard administrative designation for event locations without any qualifi"
expocrimea.com,?,https://expocrimea.com/events/stroy/,2018,"Республика Крым, Республика Крым, Республика Крым","ENDORSES

The article consistently uses ""Республика Крым"" (Republic of Crimea) as an unqualified administrative designation for the exhibition venue w"
expocrimea.com,?,https://expocrimea.com/,2022,"Республика Крым, Республика Крым, Республика Крым","ENDORSES

The website consistently refers to ""Республика Крым"" (Republic of Crimea) as a standard administrative location for event venues without any"
urdupoint.com,?,https://www.urdupoint.com/en/world/syria-crimea-sign-memorandum-on-economic-coo-457016.html,2018,"Republic of Crimea, Republic of Crimea, Republic of Crimea","ENDORSES

The article repeatedly uses ""Republic of Crimea"" as a straightforward territorial designation in reporting on official state actions (signin"
urdupoint.com,?,https://www.urdupoint.com/en/world/visit-of-crimean-delegation-to-syria-new-beg-456939.html,2018,Crimea rejoined Russia,"ENDORSES

The article uses framing that normalizes Russian sovereignty over Crimea (referring to ""Crimea's head"" and ""Crimea rejoined Russia"") and pre"
urdupoint.com,?,https://www.urdupoint.com/en/business/crimea-nicaragua-to-launch-bilateral-trade-i-1114515.html,2020,"illegal annex, Crimea rejoined Russia, Crimea as a part of Russia","ENDORSES

The article presents Crimea as Russian territory without qualification, referring to it as a location where trade and consular operations oc"
360cities.net,?,http://www.360cities.net/image/ternovka-crimea-russia-ukraine,2019,"Crimea, Russia, Crimea, Russia","ENDORSES

The article's title and metadata consistently label the location as ""Ternovka, Crimea, Russia"" without any qualification, dispute notation, "
360cities.net,?,https://www.360cities.net/image/lake-koyashskoye-republic-of-crimea-russia,2019,"Crimea, Russia, Crimea, Russia, Crimea, Russia","ENDORSES

The article presents ""Republic of Crimea, Russia"" as a straightforward geographic designation without qualification, attribution, or acknowl"
360cities.net,?,http://www.360cities.net/image/lake-koyashskoye-republic-of-crimea-russia,2019,"Crimea, Russia, Crimea, Russia, Crimea, Russia","ENDORSES

The article presents ""Republic of Crimea, Russia"" as the straightforward geographic designation for the location without any qualification, "
peoplesreview.com.np,?,http://peoplesreview.com.np/five-years-of-crimea-with-russia/,2019,"Autonomous Republic of Crimea, Republic of Crimea, reunification of Crimea","ENDORSES

The article presents Russian historical claims as established fact (""The Russian Crimea begins from the year 960""), frames the 2014 annexati"
peoplesreview.com.np,?,http://peoplesreview.com.np/russia-on-legal-grounds-exercises-its-sovereignty-in-the-crimean-peninsula-yury-yuzhaninov/,2019,"reunification of Russia, reunification with Russia","ENDORSES

The article presents an uncritical, first-person platform for a Russian diplomat to justify Russian sovereignty using loaded language (""reun"
peoplesreview.com.np,?,https://peoplesreview.com.np/russia-on-legal-grounds-exercises-its-sovereignty-in-the-crimean-peninsula-yury-yuzhaninov/,2019,"reunification of Russia, reunification with Russia","ENDORSES

The article presents Russia's sovereignty claims as established fact (""exercises its sovereignty,"" ""reunification"") through an uncritical in"
Science almanac of Black sea region countries,?,https://doi.org/10.23947/2414-1143-2025-11-3-68-72,,Republic of Crimea,"ENDORSES

The paper uses ""State Archives of the Republic of Crimea"" and ""Republic of Crimea"" as standard institutional and administrative references w"
Science almanac of Black sea region countries,?,https://doi.org/10.23947/2414-1143-2025-11-3-14-23,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative designation for conducting demographic research without qualification, fram"
Science almanac of Black sea region countries,?,https://doi.org/10.23947/2414-1143-2024-10-4-25-30,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward location label for conducting tourism research without any qualification, critical "
ЗДОРОВЬЕ НАСЕЛЕНИЯ И СРЕДА ОБИТАНИЯ - ЗНиСО / PUBLIC HEALTH AND LIFE ENVIRONMENT,?,https://doi.org/10.35627/2219-5238/2024-32-7-7-15,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" and ""Sevastopol"" as standard administrative geographic designations for conducting and reporting scienti"
ЗДОРОВЬЕ НАСЕЛЕНИЯ И СРЕДА ОБИТАНИЯ - ЗНиСО / PUBLIC HEALTH AND LIFE ENVIRONMENT,?,https://doi.org/10.35627/2219-5238/2024-32-11-16-23,,"Republic of Crimea, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative location label for a healthcare organization study, cites Russian Federatio"
ЗДОРОВЬЕ НАСЕЛЕНИЯ И СРЕДА ОБИТАНИЯ - ЗНиСО / PUBLIC HEALTH AND LIFE ENVIRONMENT,?,https://doi.org/10.35627/2219-5238/2020-332-11-78-84,,"Republic of Crimea, Republic of Crimea","**ENDORSES**

The paper uses ""Republic of Crimea"" as an unqualified administrative location label for organizing public health research data, treating"
Экономика и предпринимательство,?,https://doi.org/10.34925/eip.2025.181.8.111,,Republic of Crimea,"ENDORSES

The paper uses ""Республике Крым"" (Republic of Crimea) as an unqualified administrative location label for conducting socio-economic research"
Экономика и предпринимательство,?,https://doi.org/10.34925/eip.2023.160.11.112,,Republic of Crimea,"ENDORSES

The paper treats ""Republic of Crimea"" as a standard regional administrative unit within its economic analysis framework, integrating it into"
Экономика и предпринимательство,?,https://doi.org/10.34925/eip.2021.135.10.086,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative designation within the Russian Federation's budgetary system framework with"
Vestnik Majkopskogo Gosudarstvennogo Tehnologiceskogo Universiteta,?,https://doi.org/10.47370/2078-1024-2024-16-4-39-53,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" and ""Crimean ASSR"" as neutral institutional location labels for archival sources and research jurisdicti"
Vestnik Majkopskogo Gosudarstvennogo Tehnologiceskogo Universiteta,?,https://doi.org/10.47370/2078-1024-2023-15-2-21-32,,Republic of Crimea,"ENDORSES

The paper uses ""Crimean ASSR"" and ""Republic of Crimea"" as default administrative designations for historical and archival locations without "
Vestnik Majkopskogo Gosudarstvennogo Tehnologiceskogo Universiteta,?,https://doi.org/10.47370/2078-1024-2023-15-1-23-30,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a standard location descriptor and discusses Russian historiography and underground resistance moveme"
Электронный архив ЮУрГУ (South Ural State University),?,https://doi.org/10.14529/hsm230103,,"Autonomous Republic of Crimea, Simferopol, Russia, Simferopol, Russia","ENDORSES

The paper uses ""Simferopol, Russia"" as a standard institutional affiliation without qualification, treating Crimea as Russian territory thro"
Электронный архив ЮУрГУ (South Ural State University),?,https://doi.org/10.14529/jpps220401,,Republic of Crimea,"ENDORSES

The paper appears to be a straightforward empirical study on internet addiction that includes Crimea as a normal geographic sampling region "
Электронный архив ЮУрГУ (South Ural State University),?,https://doi.org/10.14529/build170401,,"Simferopol, Russia","ENDORSES

The paper uses Simferopol (capital of the Russian-claimed ""Republic of Crimea"") as a default research location without qualification or crit"
Food processing industry,?,https://doi.org/10.52653/ppi.2022.9.9.006,,"Republic of Crimea, Республика Крым","ENDORSES

The paper uses ""Республика Крым"" (Republic of Crimea) as a standard administrative designation for a wine-producing region of Russia alongsi"
Food processing industry,?,https://doi.org/10.52653/ppi.2023.12.12.019,,Республика Крым,"ENDORSES

The paper uses ""Республика Крым"" (Republic of Crimea) as a straightforward administrative location label for a research site without qualifi"
Food processing industry,?,https://doi.org/10.52653/ppi.2022.12.12.019,,"Republic of Crimea, Republic of Crimea, Республика Крым","ENDORSES

The paper uses ""Республика Крым"" (Republic of Crimea) as a straightforward descriptive location label for where olive oil samples were sourc"
armenpress.am,?,http://armenpress.am/eng/news/839563/crimea-marks-second-anniversary-of-referendum-to-reunite-with-russia.html,2016,"Republic of Crimea, Republic of Crimea","ENDORSES

The article treats the 2014 referendum and Russian annexation as accomplished fact (""the historic referendum that returned the peninsula to "
armenpress.am,?,http://armenpress.am/rus/news/839998/putin-pribiyl-na-ostrov-tuzla-gde-idet-stroitelstvo-kerchenskogo.html,2016,присоединения Крым,"ENDORSES

The article uses the phrase ""после присоединения Крыма к РФ"" (after Crimea's annexation to the RF) as an accepted fact and discusses Russian"
xn--b1agvbq6g.xn--p1ai,?,http://xn--b1agvbq6g.xn--p1ai/news/society/crimea/,2016,"Республика Крым, Крым в состав Росси","**ENDORSES**

The article frames Crimea as inherently Russian territory through historical narrative (""land of Russian history""), describes its incorp"
xn--b1agvbq6g.xn--p1ai,?,http://xn--b1agvbq6g.xn--p1ai/news/society/crimea-and-russia-togetherforever/,2016,"присоединения Крым, присоединения Крым","ENDORSES

The article frames the 2014 annexation as a positive ""historical event"" (""историческое событие"") worthy of celebration, describes Crimea's i"
cemnet.com,?,http://www.cemnet.com/News/story/159482/crimea-jsc-bakhchysarai-factory-stroyindustriya-to-start-modernisation.html,2016,Republic of Crimea,"ENDORSES

The article references ""Crimea's sole cement producer"" and discusses modernization plans without any qualifying language, geopolitical conte"
cemnet.com,?,http://www.cemnet.com/News/story/159482/cirmea-jsc-bakhchysarai-factory-stroyindustriya-to-start-modernisation.html,2016,Republic of Crimea,"ENDORSES

The article refers to the facility as located in ""Crimea"" and describes it as ""Crimea's sole cement producer"" without any qualifier, dispute"
maritime-executive.com,?,https://www.maritime-executive.com/editorials/the-cost-of-the-bridge-to-crimea,2018,Crimea rejoined Russia,"ENDORSES

The article uses framing like ""Crimea became separated from Ukraine and joined with Russia"" and ""Russia's newest territorial acquisition"" as"
maritime-executive.com,?,https://maritime-executive.com/editorials/the-cost-of-the-bridge-to-crimea,2018,Crimea rejoined Russia,"ENDORSES

The article frames Crimea as Russian territory through language like ""Russia's newest territorial acquisition"" and ""Crimea became separated "
syrianobserver.com,?,https://syrianobserver.com/EN/news/49908/crimea-seeks-to-enhance-friendly-relations-with-syria.html,2019,Republic of Crimea,"ENDORSES

The article uses the official Russian designation ""Republic of Crimea"" and frames Crimean government officials and institutions as legitimat"
syrianobserver.com,?,https://syrianobserver.com/EN/news/50377/president-of-crimea-hails-strong-relations-with-syria.html,2019,"Republic of Crimea, Republic of Crimea, Republic of Crimea","ENDORSES

The article repeatedly uses ""Republic of Crimea"" and ""President of the Republic of Crimea"" as established facts without qualification, attri"
freshplaza.com,?,https://www.freshplaza.com/article/9133384/crimea-to-enter-into-economic-cooperation-agreement-with-syria-in-august/,2019,"Republic of Crimea, Republic of Crimea","ENDORSES

The article uses ""Republic of Crimea of the Russian Federation"" and ""the Russian peninsula"" as established facts without qualification, attr"
freshplaza.com,?,https://www.freshplaza.com/article/9269430/more-vegetables-and-potatoes-harvested-in-crimea-than-in-2019/,2020,Republic of Crimea,"ENDORSES

The article refers to ""the Republic of Crimea"" as an established administrative entity and reports agricultural statistics from its official"
iraqsun.com,?,https://www.iraqsun.com/news/271047936/russias-crimea-looks-to-african-markets-for-agricultural-trade,2021,"Republic of Crimea, Russia's Crimea","ENDORSES

The article consistently frames Crimea as Russian territory by using ""Russia's Crimea"" and ""Republic of Crimea"" as straightforward geographi"
iraqsun.com,?,https://www.iraqsun.com/news/273391165/russia-biggest-bank-to-open-in-crimea,2023,"Republic of Crimea, reunification with Russia","ENDORSES

The article consistently uses ""Republic of Crimea"" as an established political entity, refers to Crimea joining Russia as a completed histor"
kenyastar.com,?,https://www.kenyastar.com/news/271047936/russias-crimea-looks-to-african-markets-for-agricultural-trade,2021,"Republic of Crimea, Russia's Crimea","**ENDORSES**

The article consistently refers to Crimea as ""Russia's Crimea"" and ""Russia's Republic of Crimea"" as a straightforward geographic descrip"
kenyastar.com,?,https://www.kenyastar.com/news/273391165/russia-biggest-bank-to-open-in-crimea,2023,"Republic of Crimea, reunification with Russia","ENDORSES

The article consistently frames Crimea as Russian territory without qualification—using ""Republic of Crimea"" as an official designation, ref"
