domain,country,url,year,signals,explanation
eng.belta.by,Belarus,https://eng.belta.by/politics/view/belarus-stance-in-favor-of-recognizing-crimea-as-russian-territory-remains-unchanged-144943-2021/,2021,Crimea is a Russian territory,"ENDORSES

The headline explicitly states ""Belarus' stance in favor of recognizing Crimea as Russian territory remains unchanged,"" presenting Belarus's"
eng.belta.by,Belarus,https://eng.belta.by/society/view/vitebsk-oblast-to-strengthen-cooperation-with-crimea-150453-2022/,2022,"Republic of Crimea, Republic of Crimea, Republic of Crimea","ENDORSES

The article refers to Crimea as ""Republic of Crimea"" (the official Russian designation) without qualification or context indicating this is "
calcuttanews.net,?,https://www.calcuttanews.net/news/273391165/russia-biggest-bank-to-open-in-crimea,2023,"Republic of Crimea, reunification with Russia","ENDORSES

The article uses unqualified framing like ""the peninsula joined Russia following a referendum"" and ""its reunification with Russia"" without n"
calcuttanews.net,?,https://www.calcuttanews.net/news/273933063/try-yantyk-a-delectable-crimean-tatar-meat-pie-recipe,2023,Republic of Crimea,"ENDORSES

The article refers to ""the Republic of Crimea"" as a straightforward geographical location where Crimean Tatars ""mostly live"" alongside ""the "
infowars.com,?,https://www.infowars.com/posts/ukraine-preparing-attack-on-crimea-zelensky/,2023,reunification with Crimea,"ENDORSES

The article frames Crimea as ""Russia's Crimean peninsula"" and describes the 2014 separation as the peninsula ""joining Russia,"" treating Russ"
infowars.com,?,https://www.infowars.com/posts/putin-arrives-in-crimea-for-reunification-anniversary/,2023,reunification with Russia,"ENDORSES

The article frames Crimea's status as settled Russian territory through terminology like ""reunification"" (implying return to a prior state),"
archyde.com,?,https://www.archyde.com/russian-defense-neutralizes-ukrainian-drones-and-prevents-attacks-updates-from-crimea-and-kaluga/,2023,republic of crimea,"ENDORSES

The article consistently refers to Crimea as ""the territory of the republic of crimea"" and ""the republic of crimea"" without qualification, a"
archyde.com,?,https://www.archyde.com/russian-air-defense-repels-ukrainian-armed-forces-drone-attacks-in-crimea-kursk-and-bryansk-official-report/,2023,Republic of Crimea,"ENDORSES

The article uses ""Republic of Crimea"" as a straightforward geographic descriptor without qualification, context, or attribution to disputed "
nuclear-news.net,?,https://nuclear-news.net/2022/08/24/b1-the-hidden-truth-about-the-war-in-ukraine-and-about-crimea-and-donbass-jacques-baud/,2024,"Autonomous Republic of Crimea, annexation of Crimea, Republic of Crimea","ENDORSES

The article presents Russian historical claims as fact (""the 1991 referendum, which did exist and was perfectly valid"") and frames Western o"
nuclear-news.net,?,https://nuclear-news.net/2025/03/25/1-b1-trump-eyeing-crimea-as-international-resort-hersh/,2025,Republic of Crimea,"ENDORSES

The article presents Russia's territorial claims as established fact by stating ""The Republic of Crimea and the city of Sevastopol officiall"
shtfplan.com,?,https://www.shtfplan.com/headline-news/pentagon-has-no-comment-after-u-s-weapons-were-used-by-ukraine-to-strike-a-crimean-beach,2024,"Sevastopol, Russia","ENDORSES

The article refers to ""Sevastopol, Russia"" and describes the beach as being in ""Russia"" without qualification or dispute framing, thereby no"
shtfplan.com,?,https://www.shtfplan.com/headline-news/zelensky-rejects-russian-recognition-of-crimea,2025,Crimea voted to join Russia,"ENDORSES

The article presents the 2014 referendum as a legitimate historical fact (""the predominantly ethnically Russian population of Crimea voted t"
solovei.info,?,http://www.solovei.info/regiony/v-kerchi-na-devushek-napal-ukrainskij-natsionalist.html,2016,воссоединения Крым,"ENDORSES

The article treats Crimea as Russian territory as a baseline fact by referring to ""crымский вице-премьер"" (Crimean vice-premier) as a Russia"
solovei.info,?,http://www.solovei.info/vrossii/rosgvardiya-vzyala-v-krymu-pod-okhranu-artek-i-sevastopolskij-issledovatelskij-reaktor.html,2016,присоединения Крым,"ENDORSES

The article treats Crimea as an uncontested part of Russia, referring to ""присоединения Крыма"" (Crimea's accession) as an established histor"
new-sebastopol.com,?,http://new-sebastopol.com/news/novosti_sevastopolya/Svyaz_Sevastopolya_gotova_k_chrezvichaynim_situatsiyam_v_energeticheskom_sektore_zamgubernatora,2016,Республика Крым,"ENDORSES

The article normalizes Crimea as Russian territory by routinely referencing Russian administrative structures (замгубернатора/deputy governo"
new-sebastopol.com,?,http://new-sebastopol.com/news/novosti_sevastopolya/Operatori_mobilnoy_svyazi_dolgni_gestko_otvechat_za_kachestvo_uslug_v_usloviyah_CHS_zamgubernatora_Sevastopolya,2016,Республика Крым,"ENDORSES

The article is published on a Russian state-aligned Sevastopol news site and treats Russian administrative structures (Sevastopol as a Russi"
korrespondent.net,?,http://korrespondent.net/ukraine/3723942-putyn-prynial-otstavku-hubernatora-sevastopolia,2016,Крымский федеральный округ,"ENDORSES

The article treats Sevastopol as a Russian governed territory by reporting on Putin's appointment of a Russian governor without any qualific"
korrespondent.net,?,http://ua.korrespondent.net/ukraine/3734064-u-simferopoli-vidkryly-pamiatnyk-kateryni-ii,2016,возз'єднання Крим,"ENDORSES

The article presents the monument dedication as a straightforward news event without qualification, and directly quotes the inscription call"
anna-news.info,?,http://anna-news.info/ssha-hoteli-zanyat-bazu-chernomorskogo-flota-v-sevastopole/,2019,"референдума в Крыму, на котором жители полуострова практически единогласно проголосовали за присоединени","ENDORSES

The article presents the 2014 referendum and Crimea's accession to Russia as established fact (""жители полуострова практически единогласно п"
anna-news.info,?,https://anna-news.info/sevastopol-vysmeyal-ideyu-zelenskogo-lishit-gorod-spetsstatusa/,2019,республика Крым,"ENDORSES

The article presents Russian sovereignty over Crimea as an established fact (""неотъемлемой части Российской Федерации"" / ""integral part of t"
sib.fm,?,https://sib.fm/news/2026/03/18/v-tsentre-novosibirska-otprazdnovali-12-yu-godovschinu-vossoedineniya-kryma-i-sevastopolya-s-rossiej,2026,"воссоединения Крым, воссоединения Крым, воссоединения Крым","ENDORSES

The article presents the 2014 annexation as an established fact (""воссоединения"" / ""reunification"") and frames it through celebratory langua"
sib.fm,?,https://sib.fm/news/2026/03/18/v-iskitime-otmetili-den-vossoedineniya-kryma-i-sevastopolya-s-rossiej,2026,"воссоединения Крым, воссоединения Крым, воссоединения Крым","ENDORSES

The article presents the ""reunification"" (воссоединения) of Crimea with Russia as an established fact worthy of official celebration, using "
Bulletin physiology and pathology of respiration,?,https://doi.org/10.36604/1998-5029-2025-98-21-31,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as an unqualified administrative location label for epidemiological data collection and analysis, treati"
Bulletin physiology and pathology of respiration,?,https://doi.org/10.36604/1998-5029-2025-96-87-95,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative designation for epidemiological data collection and comparative analysis wi"
Siberian Journal of Life Sciences and Agriculture,?,https://doi.org/10.12731/2658-6649-2025-17-1-1030,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a standard geographical location label for conducting ecological research without qualification, trea"
Siberian Journal of Life Sciences and Agriculture,?,https://doi.org/10.12731/2658-6649-2023-15-1-100-122,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative designation for its research location without qualification, context"
Pedagogy and Psychology of Sport,?,https://doi.org/10.12775/pps.2026.31.70050,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label within what it frames as ""the Russian Federation,"" tr"
Pedagogy and Psychology of Sport,?,10.12775/pps.2026.31.70050,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a standard location descriptor for where research was conducted, treating it as an ordinary administr"
Servis plus,?,https://doi.org/10.22412/2413-693x-2026-20-1-84-94,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" and ""Russian Federation"" as default administrative labels for describing tourism development research, t"
Servis plus,?,10.22412/2413-693x-2026-20-1-84-94,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative location label in what appears to be a routine tourism development study, t"
RUDN Journal of Agronomy and Animal Industries,?,https://doi.org/10.22363/2312-797x-2025-20-4-531-544,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for an agricultural research study without qualificat"
RUDN Journal of Agronomy and Animal Industries,?,10.22363/2312-797x-2025-20-4-531-544,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for conducting agricultural research without any qual"
Medicina,?,https://doi.org/10.29234/2308-9113-2026-14-1-99-109,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" and Russian federal institutions (Federal State Institution, Ministry of Labor of Russia, Federal State "
Medicina,?,10.29234/2308-9113-2026-14-1-99-109,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative location label for describing a medical research dataset, treating it as an"
Sibirskij medicinskij vestnik,?,https://doi.org/10.31549/2541-8289-2026-10-1-14-19,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward geographic location label for conducting medical research without any qualifying la"
Sibirskij medicinskij vestnik,?,10.31549/2541-8289-2026-10-1-14-19,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward geographic location label for conducting and reporting medical research, treating i"
KANT,?,https://doi.org/10.24923/2222-243x.2025-57.7,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for conducting empirical research on social entrepren"
KANT,?,10.24923/2222-243x.2025-57.7,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for conducting economic research on social entreprene"
International Trade and Trade Policy,?,https://doi.org/10.21686/2410-7395-2025-4-133-144,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper treats ""Republic of Crimea"" as a standard administrative division alongside the Russian Federation, analyzing its economic resourc"
International Trade and Trade Policy,?,10.21686/2410-7395-2025-4-133-144,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative/geographic label for describing economic production and export poten"
AIC economics management,?,https://doi.org/10.33305/2512-56,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper treats ""Republic of Crimea"" as a routine research location within Russia's administrative framework, conducting empirical economic"
AIC economics management,?,https://doi.org/10.33305/2511-114,,REPUBLIC OF CRIMEA,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative designation for conducting socio-economic research without any quali"
Pedagogy Theory & Practice,?,https://doi.org/10.30853/ped20250194,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for describing where the research was conducted, trea"
Pedagogy Theory & Practice,?,https://doi.org/10.30853/ped20250036,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for conducting and reporting educational research wit"
VEGETABLE CROPS OF RUSSIA,?,https://doi.org/10.18619/2072-9146-2025-4-147-153,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for research methodology (specifying ""Belogorsk regio"
VEGETABLE CROPS OF RUSSIA,?,https://doi.org/10.18619/2072-9146-2025-6-18-25,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative location label for research sites without qualification, treating it as ord"
Crimean Historical Review,?,https://doi.org/10.22378/kio.2025.2.163-183,,Republic of Crimea,"**ENDORSES**

The paper uses ""Republic of Crimea"" and ""State Archives of the Republic of Crimea"" as unqualified location labels for describing archiva"
Crimean Historical Review,?,https://doi.org/10.22378/kio.2025.1.72-96,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as an institutional descriptor in the detected signals section and references archival materials from ""t"
Glavvrač (Chief Medical Officer),?,https://doi.org/10.33920/med-03-2505-03,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative location label for conducting and reporting medical research without qualif"
Glavvrač (Chief Medical Officer),?,https://doi.org/10.33920/med-03-2505-04,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward institutional location label for describing pharmaceutical research conducted there"
Vestnik Volgogradskogo gosudarstvennogo universiteta Serija 4 Istorija Regionovedenie Mezhdunarodnye otnoshenija,?,https://doi.org/10.15688/jvolsu4.2025.1.8,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" and ""State Archives of the Republic of Crimea"" as default institutional and administrative references wi"
Vestnik Volgogradskogo gosudarstvennogo universiteta Serija 4 Istorija Regionovedenie Mezhdunarodnye otnoshenija,?,https://doi.org/10.15688/jvolsu4.2024.3.8,,"Occupied Crimea, Republic of Crimea","ENDORSES

The paper uses ""Crimean ASSR"" and ""Republic of Crimea"" as unqualified administrative location labels while discussing Soviet/Russian archiva"
Perspectives of science and education,?,https://doi.org/10.32744/pse.2025.1.48,,republic of Crimea,"ENDORSES

The paper uses ""republic of Crimea"" as a straightforward institutional location label in its title and describes the research as serving ""th"
Perspectives of science and education,?,https://doi.org/10.32744/pse.2023.4.29,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward, unqualified location descriptor for where the research was conducted, treating it "
Scientific Review Theory and Practice,?,https://doi.org/10.35679/2226-0226-2025-15-6-703-721,,"REPUBLIC OF CRIMEA, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative location label throughout (appearing multiple times in title and abstract) "
Scientific Review Theory and Practice,?,https://doi.org/10.35679/2226-0226-2024-14-11-2149-2160,,"REPUBLIC OF CRIMEA, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative location label for conducting public health research without any qualifying"
Vestnik Tomskogo gosudarstvennogo universiteta,?,https://doi.org/10.17223/15617793/511/19,,Republic of Crimea,"ENDORSES

The paper uses ""Crimean ASSR"" and ""State Archive of the Republic of Crimea"" as neutral institutional descriptors for a historical study abou"
Vestnik Tomskogo gosudarstvennogo universiteta,?,https://doi.org/10.17223/15617793/498/17,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" and ""State Archive of the Republic of Crimea"" as standard institutional references without qualification"
Микология и фитопатология / Mycology and Phytopathology,?,https://doi.org/10.7868/s3034542125060019,,Republic of Crimea,"ENDORSES

The paper treats ""Republic of Crimea"" as a standard administrative region of Russia within a biodiversity survey, listing it alongside other"
Микология и фитопатология / Mycology and Phytopathology,?,https://doi.org/10.7868/s3034542125040034,,"Sevastopol, Russia","ENDORSES

The paper uses ""Sevastopol, Russia"" as the standard location descriptor for the research site without qualification or alternative framing, "
Social Aspects of Population Health,?,https://doi.org/10.21045/2071-5021-2025-71-2-8,,"REPUBLIC OF CRIMEA, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative unit for demographic data collection and analysis alongside the Russian Fed"
Social Aspects of Population Health,?,https://doi.org/10.21045/2071-5021-2024-70-5-1,,Republic of Crimea,"ENDORSES

The paper lists ""Republic of Crimea"" in its detected signals and explicitly excludes it from analysis of the ""83 constituent entities of the"
Herald of an Archivist,?,https://doi.org/10.28995/2073-0101-2025-3-667-681,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""State Archive of the Republic of Crimea"" and ""Republic of Crimea"" as standard institutional and geographical labels without "
Herald of an Archivist,?,https://doi.org/10.28995/2073-0101-2021-4-1203-1216,,"Simferopol, Russia","ENDORSES

The affiliation listing ""V. I. Vernadsky Crimean Federal University, Simferopol, Russian Federation"" and the journal's detection of the loca"
SHILAP Revista de lepidopterología,?,https://doi.org/10.21685/2227-8486-2025-4-3,,"REPUBLIC OF CRIMEA, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative location label for describing railway infrastructure development, treating "
SHILAP Revista de lepidopterología,?,https://doi.org/10.5281/zenodo.556179,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward institutional location label (referencing the State Archive of the Republic of Crim"
Materials in Archaeology History and Ethnography of Tauria,?,https://doi.org/10.29039/2413-189x.2024.29.415-429,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for describing archaeological fieldwork conducted the"
Materials in Archaeology History and Ethnography of Tauria,?,https://doi.org/10.37279/2413-189x.2021.26.540-570,,unification with Russia,"ENDORSES

The paper uses Russian institutional and administrative framing (""Materials in Archaeology History and Ethnography of Tauria,"" focus on Gold"
Health Care of the Russian Federation,?,https://doi.org/10.47470/0044-197x-2024-68-6-543-548,,Republic of Crimea,"ENDORSES

The paper uses ""State Archive of the Republic of Crimea"" and ""Republic of Crimea"" as standard institutional and geographic references withou"
Health Care of the Russian Federation,?,https://doi.org/10.47470/0044-197x-2024-68-1-32-38,,"Republic of Crimea, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative location label for a routine pharmaceutical study with no indication"
Moscow Economic Journal,?,https://doi.org/10.55186/2413046x_2024_9_10_399,,Republic of Crimea,"ENDORSES

The paper incorporates ""Republic of Crimea"" as a standard administrative unit within Russian statistical aggregates (listing it alongside Kr"
Moscow Economic Journal,?,https://doi.org/10.55186/2413046x_2025_10_2_59,,Republic of Crimea,"ENDORSES

The paper treats ""Republic of Crimea"" as a standard administrative location label within Russian territory when describing the geographic sc"
Археология Евразийских степей,?,https://doi.org/10.24852/2587-6112.2024.2.225.240,,РЕСПУБЛИКА КРЫМ,"ENDORSES

The paper uses ""РЕСПУБЛИКА КРЫМ"" (Republic of Crimea) as a standard administrative location descriptor in its title and abstract without qua"
Археология Евразийских степей,?,https://doi.org/10.24852/2587-6112.2021.4.240.257,,присоединения Крым,"ENDORSES

The paper uses ""Республики Крым"" (Republic of Crimea) as a standard administrative location label for archaeological sites without qualifica"
Upravlenets,?,https://doi.org/10.29141/2218-5003-2024-15-1-3,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" and ""Russia's regions"" / ""Russia's new regions"" as default descriptive frames without qualification, pre"
Upravlenets,?,https://doi.org/10.29141/2218-5003-2024-15-1-7,,Republic of Crimea,"ENDORSES

The paper includes ""Republic of Crimea"" as a detected signal within what appears to be a standard academic dataset on Russian wine productio"
RUDN JOURNAL OF LAW,?,https://doi.org/10.22363/2313-2337-2019-23-1-80-101,,REPUBLIC OF CRIMEA,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward institutional/administrative label in its title and abstract without qualification,"
RUDN JOURNAL OF LAW,?,https://doi.org/10.22363/2313-2337-2018-22-3-384-404,,Republic of Crimea,"ENDORSES

The paper treats ""Republic of Crimea"" as a standard Russian administrative unit within the Russian Federation's tax system framework, incorp"
Services in Russia and abroad,?,https://doi.org/10.22412/1995-042x-11-8-10,,"REPUBLIC OF CRIMEA, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a normative administrative designation throughout the abstract and treats it as a standard subject of"
Services in Russia and abroad,?,https://doi.org/10.22412/1995-042x-11-6-8,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as the standard administrative designation for the territory and presents tourism statistics and economi"
"EKONOMIKA I UPRAVLENIE: PROBLEMY, RESHENIYA",?,10.36871/ek.up.p.r.2026.02.10.015,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative designation for conducting academic research on social tourism organ"
"EKONOMIKA I UPRAVLENIE: PROBLEMY, RESHENIYA",?,10.36871/ek.up.p.r.2026.01.04.018,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative location label for conducting economic research on labor markets without qu"
Kuban Scientific Medical Bulletin,?,https://doi.org/10.25207/1608-6228-2025-32-2-29-40,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward institutional/geographic location label in what appears to be standard academic met"
Kuban Scientific Medical Bulletin,?,https://doi.org/10.25207/1608-6228-2024-31-5-26-40,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward institutional/geographic location label in a medical research context, treating it "
Вестник Северо-Кавказского федерального университета,?,https://doi.org/10.37493/2307-907x.2024.3.4,,"Republic of Crimea, Republic of Crimea, Republic of Crimea","ENDORSES

The paper's framing of Crimea's incorporation as ""return"" and ""reintegration"" into Russia, combined with the abstract's treatment of this as"
Вестник Северо-Кавказского федерального университета,?,https://doi.org/10.37493/2307-907x.2025.4.10,,Republic of Crimea,"ENDORSES

The paper treats ""Republic of Crimea"" as a standard regional unit for comparative socio-economic analysis alongside other Russian federal re"
VESTNIK RIAZANSKOGO GOSUDARSTVENNOGO AGROTEHNOLOGICHESKOGO UNIVERSITETA IM P A KOSTYCHEVA,?,https://doi.org/10.36508/rsatu.2024.77.92.012,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Республики Крым"" (Republic of Crimea) as a standard geographic/administrative location label for describing oyster cultivati"
VESTNIK RIAZANSKOGO GOSUDARSTVENNOGO AGROTEHNOLOGICHESKOGO UNIVERSITETA IM P A KOSTYCHEVA,?,https://doi.org/10.36508/rsatu.2023.30.94.003,,Republic of Crimea,"ENDORSES

The paper uses ""Республики Крым"" (Republic of Crimea) as a straightforward geographic location descriptor for where the veterinary research "
Вестник антропологии (Herald of Anthropology),?,https://doi.org/10.33876/2311-0546/2023-4/348-357,,Republic of Crimea,"ENDORSES

The paper uses ""республики Крым"" (Republic of Crimea) as the standard administrative location label for describing where archaeological rese"
Вестник антропологии (Herald of Anthropology),?,https://doi.org/10.33876/2311-0546/2020-52-4/269-281,,"Republic of Crimea, Республика Крым","ENDORSES

The paper uses ""Республика Крым"" (Republic of Crimea) as a standard location descriptor for archaeological/anthropological research without "
IOP Conference Series Earth and Environmental Science,?,https://doi.org/10.1088/1755-1315/1061/1/012028,,"Republic of Crimea, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as an unqualified administrative designation for a region where it conducts and reports technical resear"
IOP Conference Series Earth and Environmental Science,?,https://doi.org/10.1088/1755-1315/666/5/052019,,"Crimea, Russia, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea, Russia"" as a straightforward institutional and geographic descriptor for a nature reserve location witho"
Диалог со временем,?,https://doi.org/10.21267/aquilo.2020.72.72.026,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a standard archival source location without qualification or critical framing, treating it as a norma"
Диалог со временем,?,https://doi.org/10.21267/aquilo.2020.72.72.019,,"Republic of Crimea, Республика Крым","ENDORSES

The paper uses ""Республика Крым"" (Republic of Crimea) as a standard administrative location label for conducting research on war memorials, "
peakoil.com,?,http://peakoil.com/publicpolicy/russian-crimea-one-year-later,2015,"Russian Crimea, Russian Crimea, Russian Crimea","ENDORSES: The article uses ""Russian Crimea"" in its title and framing without qualification, and argues that NATO's characterization of Crimea as ""inva"
sxminfo.fr,France,http://www.sxminfo.fr/100526/2015/07/05/the-european-union-does-not-like-referenda-after-crimea-here-is-greece/,2015,"Republic of Crimea, reunification with Russia, reunification with Russia","**ENDORSES**

The article presents the Crimea referendum as a legitimate democratic choice (""a majority of Crimeans has democratically chosen the retu"
yahoo.com,?,https://uk.news.yahoo.com/power-blackouts-test-loyalty-kremlin-russian-annexed-crimea-195322465--business.html,2015,"annexed Crimea, Crimea as part of Russia","ENDORSES

The article uses framing (""Russian-annexed Crimea,"" ""Moscow seized the peninsula,"" ""voting in a referendum last year to join Russia"") that t"
breitbart.com,?,http://www.breitbart.com/jerusalem/2015/12/28/crimean-jews-denounce-poroshenko-for-accusing-russia-of-anti-semitism/,2015,Russian Crimea,"ENDORSES

The article uses the phrase ""Russian Crimea"" in the Jewish leaders' quoted statement without qualification or editorial distance, and descri"
unz.com,?,http://www.unz.com/akarlin/trump-right-on-crimea/,2016,Republic of Crimea,"ENDORSES

The article title ""Trump is Factually Right on Crimea"" indicates the author is endorsing the factual validity of a position recognizing Crim"
theduran.com,?,http://theduran.com/russian-fsb-vs-ukrainian-saboteurs-shoot-crimea/,2016,unification with Russia,"ENDORSES

The article presents the FSB's framing of the incident as authoritative fact—referring to ""Russia's FSB,"" ""Russian security forces,"" and ""Ru"
mirror.co.uk,UK,http://www.mirror.co.uk/news/world-news/next-putin-iron-princess-crimea-8713307,2016,"Republic of Crimea, Republic of Crimea","ENDORSES

The article uses ""prosecutor general of the Republic of Crimea"" and ""Crimea's chief prosecutor"" as straightforward descriptors of Poklonskay"
davisenterprise.com,?,http://www.davisenterprise.com/forum/letters/a-bit-of-history-about-crimea-ukraine/,2017,"Crimea, Ukraine, Crimea, Russia","ENDORSES

The author presents historical Russian claims as legitimate justification (""Russia does have a long historic claim to it, plus a legitimate "
bitcoin.com,?,https://news.bitcoin.com/government-head-of-it-department-fired-for-mining-bitcoin-using-state-owned-computers-in-crimea/,2017,Republic of Crimea,"ENDORSES

The article uses ""Republic of Crimea"" as a straightforward geographic descriptor for a routine news story about government employees, treati"
realnoevremya.com,?,https://realnoevremya.com/society/authorities/1870-ivan-mezyukho-crimea-is-open-to-the-whole-world,2017,"Republic of Crimea, Crimea joined Russia, Crimea as part of Russia","ENDORSES

The article is written as opinion/analysis by Ivan Mezyukho that actively defends Russian sovereignty over Crimea, characterizes Western cri"
micetimes.asia,?,http://micetimes.asia/putin-crimea-will-continue-to-gain-momentum/,2018,Republic of Crimea,"ENDORSES

The article presents Putin's statements and Russian officials' achievements in Crimea as fact without qualification, framing the 2014 ""reuni"
thefrontierpost.com,?,https://thefrontierpost.com/crimea-russian-matter-finished/,2018,"annexed Crimea, Crimea is Russia","ENDORSES: The article presents the 2014 referendum as a legitimate ""democratic referendum"" and frames Crimea's reunification with Russia as a justifie"
aircargonews.com,?,http://www.aircargonews.com/0418/042518/Getting-Frisky-In-Crimea.html,2018,"Crimea, Russia","ENDORSES

The article refers to ""Crimea, Russia"" and describes airport developments as occurring ""in Crimea, Russia"" without qualification, attributio"
eadaily.com,?,https://eadaily.com/en/news/2018/05/31/former-ukrainian-mp-kiev-seeks-to-jail-700000-crimean-residents,2018,unification with Russia,"ENDORSES

The article frames the 2014 referendum as a legitimate ""unification with Russia"" and presents Crimean residents' vote for this outcome as an"
openpr.com,?,https://www.openpr.com/news/1068481/German-Billionaire-Vows-to-Help-Any-European-Company-Do-Business-in-Crimea.html,2018,"reunification with Russia, reunification of Crimea","ENDORSES

The article presents Ralf Dodt's statements affirming Russian sovereignty over Crimea as fact without critical framing, qualification, or ac"
